,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
215,216,Klaus,2019,96,8.1,65.0,147263,196.0,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Sergio Pablos, Carlos Martínez López","['Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso']"
216,217,Masaan,2015,109,8.1,62.28,28179,75.62454999999994,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",Neeraj Ghaywan,"['Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi']"
217,218,Ah-ga-ssi,2016,145,8.1,84.0,145297,2.01,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Park Chan-wook,"['Kim Min-hee, Ha Jung-woo, Cho Jin-woong, Moon So-ri']"
218,219,Bajrangi Bhaijaan,2015,163,8.1,62.28,87912,8.18,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,"['Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor']"
219,220,Queen,2013,146,8.1,62.28,65879,1.43,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Vikas Bahl,"['Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho']"
220,221,Logan,2017,137,8.1,77.0,752460,226.28,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,"['Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook']"
221,222,Room,2015,118,8.1,86.0,418017,14.68,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Lenny Abrahamson,"['Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson']"
222,223,Relatos salvajes,2014,122,8.1,77.0,197445,3.11,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,"['Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta']"
223,224,Mandariinid,2013,87,8.1,73.0,46377,0.14,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Zaza Urushadze,"['Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze, Misha Meskhi']"
224,225,PK,2014,153,8.1,62.28,187172,10.62,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Rajkumar Hirani,"['Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani']"
